Species,Trophic.Niche,Realm
Malacocincla perspicillata,Invertivore,Oriental
Malacocincla sepiaria,Invertivore,Oriental
Malacopteron affine,Invertivore,Oriental
Malacopteron albogulare,Invertivore,Oriental
Malacopteron cinereum,Invertivore,Oriental
Malacopteron magnirostre,Invertivore,Oriental
Malacopteron magnum,Invertivore,Oriental
Malacopteron palawanense,Invertivore,Oriental
Napothera epilepidota,Invertivore,Oriental
Pellorneum albiventre,Invertivore,Oriental
Pellorneum capistratum,Invertivore,Oriental
Pellorneum fuscocapillus,Invertivore,Oriental
Pellorneum nigrocapitatum,Invertivore,Oriental
Pellorneum palustre,Invertivore,Oriental
Pellorneum ruficeps,Invertivore,Oriental
Ptilocichla falcata,Invertivore,Oriental
Ptilocichla leucogrammica,Invertivore,Oriental
Ptilocichla mindanensis,Invertivore,Oriental
Rimator albostriatus,Invertivore,Oriental
Rimator danjoui,Invertivore,Oriental
Rimator malacoptilus,Invertivore,Oriental
Rimator naungmungensis,Invertivore,Sino-Japanese
Rimator pasquieri,Invertivore,Oriental
Schoeniparus brunneus,Invertivore,Sino-Japanese
Schoeniparus castaneceps,Invertivore,Oriental
Schoeniparus cinereus,Invertivore,Oriental
Schoeniparus dubius,Invertivore,Oriental
Schoeniparus klossi,Invertivore,Oriental
Schoeniparus rufogularis,Invertivore,Oriental
Schoeniparus variegaticeps,Invertivore,Sino-Japanese
Trichastoma bicolor,Invertivore,Oriental
Trichastoma buettikoferi,Invertivore,Oriental
Trichastoma celebense,Invertivore,Oriental
Trichastoma cinereiceps,Invertivore,Oriental
Trichastoma malaccense,Invertivore,Oriental
Trichastoma pyrrogenys,Invertivore,Oriental
Trichastoma rostratum,Invertivore,Oriental
Trichastoma tickelli,Invertivore,Oriental
Turdinus atrigularis,Invertivore,Oriental
Turdinus brevicaudatus,Invertivore,Oriental
Turdinus calcicola,Invertivore,Oriental
Turdinus crassus,Invertivore,Oriental
Turdinus crispifrons,Invertivore,Oriental
Turdinus macrodactylus,Invertivore,Oriental
Turdinus marmoratus,Invertivore,Oriental
Turdinus rufipectus,Invertivore,Oriental
Amalocichla incerta,Invertivore,Oceanian
Amalocichla sclateriana,Invertivore,Oceanian
Cryptomicroeca flaviventris,Invertivore,Oceanian
Devioeca papuana,Invertivore,Oceanian
Drymodes beccarii,Invertivore,Oceanian
Drymodes brunneopygia,Invertivore,Australian
Drymodes superciliaris,Invertivore,Australian
Eopsaltria australis,Invertivore,Australian
Eopsaltria griseogularis,Invertivore,Australian
Eugerygone rubra,Invertivore,Oceanian
Gennaeodryas placens,Invertivore,Oceanian
Heteromyias albispecularis,Invertivore,Oceanian
Heteromyias armiti,Invertivore,Oceanian
Heteromyias cinereifrons,Invertivore,Australian
Kempiella flavovirescens,Invertivore,Oceanian
Kempiella griseoceps,Invertivore,Oceanian
Melanodryas cucullata,Invertivore,Australian
Melanodryas vittata,Invertivore,Australian
Microeca fascinans,Invertivore,Australian
Microeca flavigaster,Invertivore,Oceanian
Microeca hemixantha,Invertivore,Oriental
Microeca tormenti,Invertivore,Australian
Monachella coultasi,Invertivore,Oceanian
Monachella muelleriana,Invertivore,Oceanian
Pachycephalopsis hattamensis,Invertivore,Oceanian
Pachycephalopsis poliosoma,Invertivore,Oceanian
Peneoenanthe pulverulenta,Invertivore,Oceanian
Peneothello bimaculata,Invertivore,Oceanian
Peneothello cryptoleuca,Invertivore,Oceanian
Peneothello cyanus,Invertivore,Oceanian
Peneothello sigillata,Invertivore,Oceanian
Petroica archboldi,Invertivore,Oceanian
Petroica australis,Invertivore,Australian
Petroica bivittata,Invertivore,Oceanian
Petroica boodang,Invertivore,Australian
Petroica dannefaerdi,Invertivore,Australian
Petroica dannefaerdi,Invertivore,Australian
Petroica dannefaerdi,Invertivore,Australian
Petroica goodenovii,Invertivore,Australian
Petroica longipes,Invertivore,Australian
Petroica macrocephala,Invertivore,Australian
Petroica multicolor,Invertivore,Australian
Petroica phoenicea,Invertivore,Australian
Petroica pusilla,Invertivore,Oceanian
Petroica rodinogaster,Invertivore,Australian
Petroica rosea,Invertivore,Australian
Petroica traversi,Invertivore,Australian
Petroica traversi,Invertivore,Australian
Plesiodryas albonotata,Invertivore,Oceanian
Poecilodryas brachyura,Invertivore,Oceanian
Poecilodryas cerviniventris,Invertivore,Australian
Poecilodryas hypoleuca,Invertivore,Oceanian
Poecilodryas superciliosa,Invertivore,Australian
Quoyornis georgianus,Invertivore,Australian
Tregellasia capito,Invertivore,Australian
Tregellasia leucops,Invertivore,Oceanian
Peucedramus taeniatus,Invertivore,Nearctic
Microligea palustris,Invertivore,Neotropical
Phaenicophilus palmarum,Invertivore,Neotropical
Phaenicophilus poliocephalus,Invertivore,Neotropical
Xenoligea montana,Invertivore,Neotropical
Neodrepanis coruscans,Nectarivore,Madagascan
Neodrepanis hypoxantha,Nectarivore,Madagascan
Philepitta castanea,Frugivore,Madagascan
Philepitta schlegeli,Frugivore,Madagascan
Phylloscopus affinis,Invertivore,Sino-Japanese
Phylloscopus amoenus,Invertivore,Oceanian
Phylloscopus armandii,Invertivore,Palearctic
Phylloscopus bonelli,Invertivore,Palearctic
Phylloscopus borealis,Invertivore,Palearctic
Phylloscopus borealoides,Invertivore,Sino-Japanese
Phylloscopus budongoensis,Invertivore,Afrotropical
Phylloscopus burkii,Invertivore,Sino-Japanese
Phylloscopus calciatilis,Invertivore,Oriental
Phylloscopus canariensis,Invertivore,Palearctic
Phylloscopus cantator,Invertivore,Oriental
Phylloscopus castaniceps,Invertivore,Oriental
Phylloscopus cebuensis,Invertivore,Sino-Japanese
Phylloscopus chloronotus,Invertivore,Sino-Japanese
Phylloscopus claudiae,Invertivore,Sino-Japanese
Phylloscopus collybita,Invertivore,Palearctic
Phylloscopus coronatus,Invertivore,Palearctic
Phylloscopus emeiensis,Invertivore,Sino-Japanese
Phylloscopus emilsalimi,Invertivore,NA
Phylloscopus examinandus,Invertivore,Palearctic
Phylloscopus forresti,Invertivore,Sino-Japanese
Phylloscopus fuligiventer,Invertivore,Sino-Japanese
Phylloscopus fuscatus,Invertivore,Palearctic
Phylloscopus goodsoni,Invertivore,Sino-Japanese
Phylloscopus grammiceps,Invertivore,Oriental
Phylloscopus griseolus,Invertivore,Palearctic
Phylloscopus hainanus,Invertivore,Oriental
Phylloscopus herberti,Invertivore,Afrotropical
Phylloscopus humei,Invertivore,Palearctic
Phylloscopus ibericus,Invertivore,Palearctic
Phylloscopus ijimae,Invertivore,Sino-Japanese
Phylloscopus inornatus,Invertivore,Palearctic
Phylloscopus intensior,Invertivore,Oriental
Phylloscopus intermedius,Invertivore,Sino-Japanese
Phylloscopus kansuensis,Invertivore,Palearctic
Phylloscopus laetus,Invertivore,Afrotropical
Phylloscopus laurae,Invertivore,Afrotropical
Phylloscopus maculipennis,Invertivore,Oriental
Phylloscopus maforensis,Invertivore,Oceanian
Phylloscopus magnirostris,Invertivore,Sino-Japanese
Phylloscopus misoriensis,Invertivore,Oceanian
Phylloscopus montis,Invertivore,Oriental
Phylloscopus neglectus,Invertivore,Saharo-Arabian
Phylloscopus nitidus,Invertivore,Palearctic
Phylloscopus occipitalis,Invertivore,Saharo-Arabian
Phylloscopus ogilviegranti,Invertivore,Sino-Japanese
Phylloscopus olivaceus,Invertivore,Oriental
Phylloscopus omeiensis,Invertivore,Sino-Japanese
Phylloscopus orientalis,Invertivore,Saharo-Arabian
Phylloscopus plumbeitarsus,Invertivore,Palearctic
Phylloscopus poliocephalus,Invertivore,Oceanian
Phylloscopus poliogenys,Invertivore,Oriental
Phylloscopus presbytes,Invertivore,Oceanian
Phylloscopus proregulus,Invertivore,Palearctic
Phylloscopus pulcher,Invertivore,Sino-Japanese
Phylloscopus reguloides,Invertivore,Oriental
Phylloscopus ricketti,Invertivore,Sino-Japanese
Phylloscopus rotiensis,Invertivore,Oriental
Phylloscopus ruficapilla,Invertivore,Afrotropical
Phylloscopus sarasinorum,Invertivore,Oriental
Phylloscopus schwarzi,Invertivore,Palearctic
Phylloscopus sibilatrix,Invertivore,Palearctic
Phylloscopus sindianus,Invertivore,Palearctic
Phylloscopus soror,Invertivore,Sino-Japanese
Phylloscopus suaramerdu,Invertivore,NA
Phylloscopus subaffinis,Invertivore,Sino-Japanese
Phylloscopus subviridis,Invertivore,Oriental
Phylloscopus sumatrensis,Invertivore,Oriental
Phylloscopus tenellipes,Invertivore,Palearctic
Phylloscopus tephrocephalus,Invertivore,Sino-Japanese
Phylloscopus tristis,Invertivore,Palearctic
Phylloscopus trivirgatus,Invertivore,Oriental
Phylloscopus trochiloides,Invertivore,Palearctic
Phylloscopus trochilus,Invertivore,Palearctic
Phylloscopus tytleri,Invertivore,Saharo-Arabian
Phylloscopus umbrovirens,Invertivore,Afrotropical
Phylloscopus valentini,Invertivore,Sino-Japanese
Phylloscopus whistleri,Invertivore,Sino-Japanese
Phylloscopus xanthodryas,Invertivore,Sino-Japanese
Phylloscopus xanthoschistos,Invertivore,Sino-Japanese
Phylloscopus yunnanensis,Invertivore,Palearctic
Picathartes gymnocephalus,Invertivore,Afrotropical
Picathartes oreas,Invertivore,Afrotropical
Antilophia bokermanni,Frugivore,Neotropical
Antilophia galeata,Frugivore,Neotropical
Ceratopipra chloromeros,Frugivore,Neotropical
Ceratopipra cornuta,Frugivore,Neotropical
Ceratopipra erythrocephala,Frugivore,Neotropical
Ceratopipra mentalis,Frugivore,Neotropical
Ceratopipra rubrocapilla,Frugivore,Neotropical
Chiroxiphia boliviana,Frugivore,Neotropical
Chiroxiphia caudata,Omnivore,Neotropical
Chiroxiphia lanceolata,Frugivore,Neotropical
Chiroxiphia linearis,Frugivore,Neotropical
Chiroxiphia pareola,Frugivore,Neotropical
Chloropipo flavicapilla,Frugivore,Neotropical
Chloropipo unicolor,Frugivore,Neotropical
Corapipo gutturalis,Frugivore,Neotropical
Corapipo leucorrhoa,Frugivore,Neotropical
Cryptopipo holochlora,Frugivore,Neotropical
Cryptopipo litae,Frugivore,Neotropical
Heterocercus aurantiivertex,Frugivore,Neotropical
Heterocercus flavivertex,Omnivore,Neotropical
Heterocercus linteatus,Frugivore,Neotropical
Ilicura militaris,Frugivore,Neotropical
Lepidothrix coeruleocapilla,Frugivore,Neotropical
Lepidothrix coronata,Frugivore,Neotropical
Lepidothrix iris,Frugivore,Neotropical
Lepidothrix isidorei,Frugivore,Neotropical
Lepidothrix nattereri,Omnivore,Neotropical
Lepidothrix serena,Frugivore,Neotropical
Lepidothrix suavissima,Frugivore,Neotropical
Lepidothrix vilasboasi,Frugivore,Neotropical
Machaeropterus deliciosus,Frugivore,Neotropical
Machaeropterus eckelberryi,Frugivore,Neotropical
Machaeropterus pyrocephalus,Frugivore,Neotropical
Machaeropterus regulus,Frugivore,Neotropical
Machaeropterus striolatus,Frugivore,Neotropical
Manacus aurantiacus,Frugivore,Neotropical
Manacus candei,Frugivore,Neotropical
Manacus manacus,Frugivore,Neotropical
Manacus vitellinus,Frugivore,Neotropical
Masius chrysopterus,Frugivore,Neotropical
Neopelma aurifrons,Frugivore,Neotropical
Neopelma chrysocephalum,Frugivore,Neotropical
Neopelma chrysolophum,Frugivore,Neotropical
Neopelma pallescens,Invertivore,Neotropical
Neopelma sulphureiventer,Invertivore,Neotropical
Pipra aureola,Frugivore,Neotropical
Pipra fasciicauda,Frugivore,Neotropical
Pipra filicauda,Frugivore,Neotropical
Pseudopipra pipra,Frugivore,Neotropical
Tyranneutes stolzmanni,Frugivore,Neotropical
Tyranneutes virescens,Frugivore,Neotropical
Xenopipo atronitens,Frugivore,Neotropical
Xenopipo uniformis,Frugivore,Neotropical
Erythropitta arquata,Invertivore,Oriental
Erythropitta caeruleitorques,Invertivore,Oceanian
Erythropitta caeruleitorques,Invertivore,Oceanian
Erythropitta caeruleitorques,Invertivore,Oceanian
Erythropitta caeruleitorques,Invertivore,Oceanian
Erythropitta caeruleitorques,Invertivore,Oceanian
Erythropitta celebensis,Invertivore,Oriental
Erythropitta dohertyi,Invertivore,Oceanian
Erythropitta erythrogaster,Invertivore,Oceanian
Erythropitta gazellae,Invertivore,Oceanian
Erythropitta granatina,Invertivore,Oriental
Erythropitta inspeculata,Invertivore,Oceanian
Erythropitta kochi,Invertivore,Oriental
Erythropitta macklotii,Invertivore,Oceanian
Erythropitta meeki,Invertivore,Oceanian
Erythropitta novaehibernicae,Invertivore,Oceanian
Erythropitta palliceps,Invertivore,Oceanian
Erythropitta rubrinucha,Invertivore,Oceanian
Erythropitta rufiventris,Invertivore,Oceanian
Erythropitta splendida,Invertivore,Oceanian
Erythropitta ussheri,Invertivore,Oriental
Erythropitta venusta,Invertivore,Oriental
Hydrornis baudii,Invertivore,Oriental
Hydrornis caeruleus,Invertivore,Oriental
Hydrornis cyaneus,Invertivore,Oriental
Hydrornis elliotii,Invertivore,Oriental
Hydrornis guajanus,Invertivore,Oriental
Hydrornis gurneyi,Invertivore,Oriental
Hydrornis irena,Invertivore,Oriental
Hydrornis nipalensis,Invertivore,Oriental
Hydrornis oatesi,Invertivore,Oriental
Hydrornis phayrei,Invertivore,Oriental
Hydrornis schneideri,Invertivore,Oriental
Hydrornis schwaneri,Invertivore,Oriental
Hydrornis soror,Invertivore,Oriental
Pitta anerythra,Invertivore,Oceanian
Pitta anerythra,Invertivore,Oceanian
Pitta angolensis,Invertivore,Afrotropical
Pitta brachyura,Invertivore,Oriental
Pitta elegans,Invertivore,Oceanian
Pitta iris,Invertivore,Australian
Pitta maxima,Invertivore,Oceanian
Pitta megarhyncha,Invertivore,Oriental
Pitta moluccensis,Invertivore,Oriental
Pitta morotaiensis,Invertivore,Oceanian
Pitta novaeguineae,Invertivore,Oceanian
Pitta nympha,Invertivore,Sino-Japanese
Pitta reichenowi,Invertivore,Afrotropical
Pitta rosenbergii,Invertivore,Oceanian
Pitta sordida,Invertivore,Oriental
Pitta steerii,Invertivore,Oriental
Pitta superba,Invertivore,Oceanian
Pitta versicolor,Invertivore,Australian
Pityriasis gymnocephala,Invertivore,Oriental
Platylophus galericulatus,Invertivore,Oriental
Platylophus galericulatus,Invertivore,Oriental
Batis capensis,Invertivore,Afrotropical
Batis crypta,Invertivore,Afrotropical
Batis dimorpha,Invertivore,Afrotropical
Batis diops,Invertivore,Afrotropical
Batis erlangeri,Invertivore,Afrotropical
Batis fratrum,Invertivore,Afrotropical
Batis ituriensis,Invertivore,Afrotropical
Batis margaritae,Invertivore,Afrotropical
Batis minima,Invertivore,Afrotropical
Batis minor,Invertivore,Afrotropical
Batis minulla,Invertivore,Afrotropical
Batis mixta,Invertivore,Afrotropical
Batis molitor,Invertivore,Afrotropical
Batis occulta,Invertivore,Afrotropical
Batis orientalis,Invertivore,Afrotropical
Batis perkeo,Invertivore,Afrotropical
Batis poensis,Invertivore,Afrotropical
Batis pririt,Invertivore,Afrotropical
Batis reichenowi,Invertivore,Afrotropical
Batis senegalensis,Invertivore,Afrotropical
Batis soror,Invertivore,Afrotropical
Dyaphorophyia ansorgei,Invertivore,Afrotropical
Dyaphorophyia blissetti,Invertivore,Afrotropical
Dyaphorophyia castanea,Invertivore,Afrotropical
Dyaphorophyia chalybea,Invertivore,Afrotropical
Dyaphorophyia concreta,Invertivore,Afrotropical
Dyaphorophyia hormophora,Invertivore,Afrotropical
Dyaphorophyia jamesoni,Invertivore,Afrotropical
Dyaphorophyia tonsa,Invertivore,Afrotropical
Lanioturdus torquatus,Invertivore,Afrotropical
Platysteira albifrons,Invertivore,Afrotropical
Platysteira cyanea,Invertivore,Afrotropical
Platysteira laticincta,Invertivore,Afrotropical
Platysteira peltata,Invertivore,Afrotropical
Amblyospiza albifrons,Omnivore,Afrotropical
Anaplectes jubaensis,Invertivore,Afrotropical
Anaplectes leuconotos,Invertivore,Afrotropical
Anaplectes rubriceps,Invertivore,Afrotropical
Brachycope anomala,Granivore,Afrotropical
Bubalornis albirostris,Omnivore,Afrotropical
Bubalornis niger,Invertivore,Afrotropical
Dinemellia dinemelli,Invertivore,Afrotropical
Euplectes afer,Granivore,Afrotropical
Euplectes albonotatus,Granivore,Afrotropical
Euplectes ardens,Omnivore,Afrotropical
Euplectes aureus,Granivore,Afrotropical
Euplectes axillaris,Granivore,Afrotropical
Euplectes capensis,Granivore,Afrotropical
Euplectes diadematus,Granivore,Afrotropical
Euplectes franciscanus,Granivore,Afrotropical
Euplectes gierowii,Granivore,Afrotropical
Euplectes hartlaubi,Omnivore,Afrotropical
Euplectes hordeaceus,Granivore,Afrotropical
Euplectes jacksoni,Granivore,Afrotropical
Euplectes laticauda,Omnivore,Afrotropical
Euplectes macroura,Granivore,Afrotropical
Euplectes nigroventris,Granivore,Afrotropical
Euplectes orix,Granivore,Afrotropical
Euplectes progne,Granivore,Afrotropical
Euplectes psammacromius,Omnivore,Afrotropical
Foudia aldabrana,Invertivore,Madagascan
Foudia aldabrana,Invertivore,Madagascan
Foudia consobrina,Invertivore,Madagascan
Foudia eminentissima,Invertivore,Madagascan
Foudia flavicans,Invertivore,Oceanian
Foudia madagascariensis,Granivore,Madagascan
Foudia omissa,Omnivore,Madagascan
Foudia rubra,Invertivore,Oceanian
Foudia sechellarum,Invertivore,Madagascan
Histurgops ruficauda,Omnivore,Afrotropical
Malimbus ballmanni,Invertivore,Afrotropical
Malimbus cassini,Invertivore,Afrotropical
Malimbus coronatus,Invertivore,Afrotropical
Malimbus erythrogaster,Invertivore,Afrotropical
Malimbus ibadanensis,Invertivore,Afrotropical
Malimbus malimbicus,Invertivore,Afrotropical
Malimbus nitens,Invertivore,Afrotropical
Malimbus racheliae,Invertivore,Afrotropical
Malimbus rubricollis,Invertivore,Afrotropical
Malimbus scutatus,Invertivore,Afrotropical
Philetairus socius,Omnivore,Afrotropical
Plocepasser donaldsoni,Omnivore,Afrotropical
Plocepasser mahali,Omnivore,Afrotropical
Plocepasser rufoscapulatus,Granivore,Afrotropical
Plocepasser superciliosus,Granivore,Afrotropical
Ploceus albinucha,Invertivore,Afrotropical
Ploceus alienus,Invertivore,Afrotropical
Ploceus angolensis,Invertivore,Afrotropical
Ploceus aurantius,Omnivore,Afrotropical
Ploceus aureonucha,Omnivore,Afrotropical
Ploceus badius,Granivore,Afrotropical
Ploceus baglafecht,Invertivore,Afrotropical
Ploceus bannermani,Omnivore,Afrotropical
Ploceus batesi,Invertivore,Afrotropical
Ploceus benghalensis,Granivore,Oriental
Ploceus bertrandi,Invertivore,Afrotropical
Ploceus bicolor,Invertivore,Afrotropical
Ploceus bojeri,Omnivore,Afrotropical
Ploceus brachypterus,Invertivore,Afrotropical
Ploceus burnieri,Granivore,Afrotropical
Ploceus capensis,Omnivore,Afrotropical
Ploceus castaneiceps,Granivore,Afrotropical
Ploceus castaneofuscus,Invertivore,Afrotropical
Ploceus castanops,Granivore,Afrotropical
Ploceus cucullatus,Granivore,Afrotropical
Ploceus dichrocephalus,Granivore,Afrotropical
Ploceus dorsomaculatus,Invertivore,Afrotropical
Ploceus flavipes,Invertivore,Afrotropical
Ploceus galbula,Granivore,Afrotropical
Ploceus golandi,Invertivore,Afrotropical
Ploceus grandis,Granivore,Afrotropical
Ploceus heuglini,Invertivore,Afrotropical
Ploceus hypoxanthus,Granivore,Oriental
Ploceus insignis,Invertivore,Afrotropical
Ploceus intermedius,Invertivore,Afrotropical
Ploceus jacksoni,Granivore,Afrotropical
Ploceus katangae,Granivore,Afrotropical
Ploceus luteolus,Granivore,Afrotropical
Ploceus manyar,Granivore,Oriental
Ploceus megarhynchus,Granivore,Oriental
Ploceus melanocephalus,Granivore,Afrotropical
Ploceus melanogaster,Invertivore,Afrotropical
Ploceus nelicourvi,Invertivore,Madagascan
Ploceus nicolli,Invertivore,Afrotropical
Ploceus nigerrimus,Invertivore,Afrotropical
Ploceus nigricollis,Invertivore,Afrotropical
Ploceus nigrimentus,Omnivore,Afrotropical
Ploceus ocularis,Invertivore,Afrotropical
Ploceus olivaceiceps,Invertivore,Madagascan
Ploceus pelzelni,Invertivore,Afrotropical
Ploceus philippinus,Granivore,Oriental
Ploceus preussi,Invertivore,Afrotropical
Ploceus princeps,Granivore,Afrotropical
Ploceus reichardi,Granivore,Afrotropical
Ploceus rubiginosus,Granivore,Afrotropical
Ploceus ruweti,Omnivore,Afrotropical
Ploceus sakalava,Granivore,Madagascan
Ploceus sanctithomae,Granivore,Afrotropical
Ploceus spekei,Granivore,Afrotropical
Ploceus spekeoides,Granivore,Afrotropical
Ploceus subaureus,Granivore,Afrotropical
Ploceus subpersonatus,Granivore,Afrotropical
Ploceus superciliosus,Granivore,Afrotropical
Ploceus taeniopterus,Granivore,Afrotropical
Ploceus temporalis,Invertivore,Afrotropical
Ploceus tricolor,Invertivore,Afrotropical
Ploceus upembae,Granivore,Afrotropical
Ploceus velatus,Omnivore,Afrotropical
Ploceus vitellinus,Granivore,Afrotropical
Ploceus weynsi,Omnivore,Afrotropical
Ploceus xanthops,Omnivore,Afrotropical
Ploceus xanthopterus,Omnivore,Afrotropical
Pseudonigrita arnaudi,Omnivore,Afrotropical
Pseudonigrita cabanisi,Granivore,Afrotropical
Quelea cardinalis,Granivore,Afrotropical
Quelea erythrops,Granivore,Afrotropical
Quelea quelea,Granivore,Afrotropical
Sporopipes frontalis,Granivore,Afrotropical
Sporopipes squamifrons,Granivore,Afrotropical
Pnoepyga albiventer,Invertivore,Oriental
Pnoepyga formosana,Invertivore,Oriental
Pnoepyga immaculata,Invertivore,Oriental
Pnoepyga pusilla,Invertivore,Oriental
Microbates cinereiventris,Invertivore,Neotropical
Microbates collaris,Invertivore,Neotropical
Polioptila albiloris,Invertivore,Neotropical
Polioptila caerulea,Invertivore,Nearctic
Polioptila californica,Invertivore,Nearctic
Polioptila dumicola,Invertivore,Neotropical
Polioptila guianensis,Invertivore,Neotropical
Polioptila lactea,Invertivore,Neotropical
Polioptila lembeyei,Invertivore,Neotropical
Polioptila maior,Invertivore,Neotropical
Polioptila melanura,Invertivore,Nearctic
Polioptila nigriceps,Invertivore,Nearctic
Polioptila plumbea,Invertivore,Neotropical
Polioptila schistaceigula,Invertivore,Neotropical
Ramphocaenus melanurus,Invertivore,Neotropical
Garritornis isidorei,Invertivore,Oceanian
Pomatostomus halli,Invertivore,Australian
Pomatostomus ruficeps,Invertivore,Australian
Pomatostomus superciliosus,Invertivore,Australian
Pomatostomus temporalis,Invertivore,Australian
Promerops cafer,Nectarivore,Afrotropical
Promerops gurneyi,Nectarivore,Afrotropical
Prunella atrogularis,Invertivore,Palearctic
Prunella collaris,Invertivore,Palearctic
Prunella fulvescens,Invertivore,Palearctic
Prunella himalayana,Invertivore,Palearctic
Prunella immaculata,Omnivore,Sino-Japanese
Prunella koslowi,Invertivore,Palearctic
Prunella modularis,Invertivore,Palearctic
Prunella montanella,Invertivore,Palearctic
Prunella ocularis,Omnivore,Palearctic
Prunella rubeculoides,Omnivore,Sino-Japanese
Prunella rubida,Invertivore,Sino-Japanese
Prunella strophiata,Invertivore,Sino-Japanese
Androphobus viridis,Invertivore,Oceanian
Psophodes cristatus,Omnivore,Australian
Psophodes nigrogularis,Invertivore,Australian
Psophodes occidentalis,Omnivore,Australian
Psophodes olivaceus,Invertivore,Australian
Phainopepla nitens,Frugivore,Nearctic
Phainoptila melanoxantha,Frugivore,Neotropical
Ptiliogonys caudatus,Omnivore,Neotropical
Ptiliogonys cinereus,Omnivore,Nearctic
Ailuroedus buccoides,Omnivore,Oceanian
Ailuroedus crassirostris,Omnivore,Australian
Ailuroedus melanotis,Frugivore,Oceanian
Amblyornis flavifrons,Frugivore,Oceanian
Amblyornis inornata,Frugivore,Oceanian
Amblyornis macgregoriae,Frugivore,Oceanian
Amblyornis subalaris,Frugivore,Oceanian
Archboldia papuensis,Omnivore,Oceanian
Chlamydera cerviniventris,Omnivore,Oceanian
Chlamydera guttata,Omnivore,Australian
Chlamydera lauterbachi,Omnivore,Oceanian
Chlamydera maculata,Omnivore,Australian
Chlamydera nuchalis,Omnivore,Australian
Prionodura newtoniana,Frugivore,Australian
Ptilonorhynchus violaceus,Omnivore,Australian
Scenopoeetes dentirostris,Frugivore,Australian
Sericulus ardens,Frugivore,Oceanian
Sericulus aureus,Frugivore,Oceanian
Sericulus bakeri,Frugivore,Oceanian
Sericulus chrysocephalus,Frugivore,Australian
Acritillas indica,Omnivore,Oriental
Alcurus striatus,Omnivore,Oriental
Alophoixus bres,Omnivore,Oriental
Alophoixus flaveolus,Frugivore,Oriental
Alophoixus frater,Omnivore,Oriental
Alophoixus griseiceps,Frugivore,Oriental
Alophoixus ochraceus,Frugivore,Oriental
Alophoixus pallidus,Frugivore,Oriental
Alophoixus phaeocephalus,Omnivore,Oriental
Alophoixus ruficrissus,Frugivore,Oriental
Alophoixus tephrogenys,Omnivore,Oriental
Andropadus importunus,Frugivore,Afrotropical
Arizelocichla chlorigula,Frugivore,Afrotropical
Arizelocichla fusciceps,Frugivore,Afrotropical
Arizelocichla masukuensis,Invertivore,Afrotropical
Arizelocichla milanjensis,Omnivore,Afrotropical
Arizelocichla montana,Frugivore,Afrotropical
Arizelocichla neumanni,Frugivore,Afrotropical
Arizelocichla nigriceps,Frugivore,Afrotropical
Arizelocichla striifacies,Omnivore,Afrotropical
Arizelocichla tephrolaema,Frugivore,Afrotropical
Atimastillas flavicollis,Frugivore,Afrotropical
Atimastillas flavigula,Frugivore,Afrotropical
Baeopogon clamans,Frugivore,Afrotropical
Baeopogon indicator,Frugivore,Afrotropical
Bleda canicapillus,Invertivore,Afrotropical
Bleda eximius,Invertivore,Afrotropical
Bleda notatus,Invertivore,Afrotropical
Bleda syndactylus,Invertivore,Afrotropical
Bleda ugandae,Invertivore,Afrotropical
Brachypodius atriceps,Frugivore,Oriental
Brachypodius fuscoflavescens,Frugivore,Oriental
Brachypodius priocephalus,Frugivore,Oriental
Calyptocichla serinus,Frugivore,Afrotropical
Chlorocichla falkensteini,Frugivore,Afrotropical
Chlorocichla flaviventris,Omnivore,Afrotropical
Chlorocichla laetissima,Omnivore,Afrotropical
Chlorocichla prigoginei,Omnivore,Afrotropical
Chlorocichla simplex,Frugivore,Afrotropical
Criniger barbatus,Invertivore,Afrotropical
Criniger calurus,Invertivore,Afrotropical
Criniger chloronotus,Invertivore,Afrotropical
Criniger ndussumensis,Invertivore,Afrotropical
Criniger olivaceus,Invertivore,Afrotropical
Euptilotus eutilotus,Frugivore,Oriental
Eurillas ansorgei,Frugivore,Afrotropical
Eurillas curvirostris,Omnivore,Afrotropical
Eurillas gracilis,Omnivore,Afrotropical
Eurillas latirostris,Frugivore,Afrotropical
Eurillas virens,Frugivore,Afrotropical
Hemixos castanonotus,Frugivore,Sino-Japanese
Hemixos cinereus,Omnivore,Oriental
Hemixos connectens,Omnivore,Oriental
Hemixos flavala,Omnivore,Oriental
Hemixos leucogrammicus,Frugivore,Oriental
Hypsipetes affinis,Frugivore,Oceanian
Hypsipetes amaurotis,Frugivore,Palearctic
Hypsipetes aureus,Frugivore,Oriental
Hypsipetes borbonicus,Frugivore,Oceanian
Hypsipetes catarmanensis,Frugivore,Oriental
Hypsipetes chloris,Frugivore,Oceanian
Hypsipetes crassirostris,Omnivore,Madagascan
Hypsipetes crassirostris,Omnivore,Madagascan
Hypsipetes crassirostris,Omnivore,Madagascan
Hypsipetes everetti,Frugivore,Oceanian
Hypsipetes ganeesa,Frugivore,Oriental
Hypsipetes harterti,Frugivore,Oceanian
Hypsipetes harterti,Frugivore,Oceanian
Hypsipetes haynaldi,Frugivore,Oceanian
Hypsipetes leucocephalus,Frugivore,Oriental
Hypsipetes longirostris,Frugivore,Oceanian
Hypsipetes longirostris,Frugivore,Oceanian
Hypsipetes lucasi,Frugivore,Oceanian
Hypsipetes madagascariensis,Omnivore,Madagascan
Hypsipetes moheliensis,Frugivore,Madagascan
